item_id,tier,sample,answer
mocd3b68a,T3,0,A
mocd3b68a,T3,1,PARSE_FAIL
mocd3b68a,T3,2,A
mocd3b68a,T3,3,A
mocd3b68a,T3,4,A
mocd3b68a,T3,5,A
mocd3b68a,T3,6,A
mocd3b68a,T3,7,A
mocd3b68a,T3,8,A
mocd3b68a,T3,9,B
mocd3b68a,T3,10,B
mocd3b68a,T3,11,A
mocd3b68a,T3,12,A
mocd3b68a,T3,13,A
mocd3b68a,T3,14,PARSE_FAIL
mocd3b68a,T3,15,PARSE_FAIL
moc870195,T3,0,A
moc870195,T3,1,B
moc870195,T3,2,A
moc870195,T3,3,PARSE_FAIL
moc870195,T3,4,A
moc870195,T3,5,B
moc870195,T3,6,A
moc870195,T3,7,A
moc870195,T3,8,A
moc870195,T3,9,PARSE_FAIL
moc870195,T3,10,A
moc870195,T3,11,B
moc870195,T3,12,PARSE_FAIL
moc870195,T3,13,B
moc870195,T3,14,A
moc870195,T3,15,B
moc94c655,T3,0,B
moc94c655,T3,1,B
moc94c655,T3,2,B
moc94c655,T3,3,B
moc94c655,T3,4,B
moc94c655,T3,5,B
moc94c655,T3,6,B
moc94c655,T3,7,PARSE_FAIL
moc94c655,T3,8,A
moc94c655,T3,9,B
moc94c655,T3,10,A
moc94c655,T3,11,A
moc94c655,T3,12,B
moc94c655,T3,13,PARSE_FAIL
moc94c655,T3,14,B
moc94c655,T3,15,B
moc25b621,T3,0,B
moc25b621,T3,1,B
moc25b621,T3,2,PARSE_FAIL
moc25b621,T3,3,PARSE_FAIL
moc25b621,T3,4,PARSE_FAIL
moc25b621,T3,5,PARSE_FAIL
moc25b621,T3,6,A
moc25b621,T3,7,PARSE_FAIL
moc25b621,T3,8,PARSE_FAIL
moc25b621,T3,9,PARSE_FAIL
moc25b621,T3,10,B
moc25b621,T3,11,B
moc25b621,T3,12,B
moc25b621,T3,13,PARSE_FAIL
moc25b621,T3,14,PARSE_FAIL
moc25b621,T3,15,B
moc84c631,T3,0,B
moc84c631,T3,1,PARSE_FAIL
moc84c631,T3,2,PARSE_FAIL
moc84c631,T3,3,B
moc84c631,T3,4,B
moc84c631,T3,5,PARSE_FAIL
moc84c631,T3,6,B
moc84c631,T3,7,B
moc84c631,T3,8,B
